1,week,ons_geog_code,percentage_pop_est,percentage_pop_est_lci,percentage_pop_est_uci,pop_est,pop_est_lci,pop_est_uci
124,2022-35,E92000001,1.29,1.21,1.39,705800,657500,755300
125,2022-36,E92000001,1.41,1.31,1.51,766500,714800,822400
126,2022-36,E92000001,1.57,1.47,1.68,857400,801600,914100
127,2022-37,E92000001,2.03,1.91,2.15,1105400,1041500,1170200
128,2022-39,E92000001,2.78,2.62,2.94,1513700,1428900,1604500
129,2022-40,E92000001,3.13,2.99,3.26,1706200,1631600,1780100
130,2022-41,E92000001,3.21,3.07,3.35,1748400,1671600,1825900
131,2022-42,E92000001,2.92,2.78,3.07,1593900,1518500,1672400
132,2022-43,E92000001,2.43,2.31,2.55,1323200,1258100,1390700
133,2022-44,E92000001,1.73,1.63,1.82,940700,888600,994200
134,2022-45,E92000001,1.48,1.39,1.58,809200,757900,862600
135,2022-46,E92000001,1.6,1.5,1.7,873200,818600,928300
136,2022-46,E92000001,1.73,1.6,1.86,941700,874100,1013600
137,2022-48,E92000001,2.01,1.87,2.15,1095100,1022000,1173500
138,2022-48,E92000001,2.2,2.08,2.32,1197200,1135000,1263900
139,2022-51,E92000001,4.52,4.29,4.76,2463000,2338700,2593200
140,2022-52,E92000001,4.02,3.84,4.19,2189300,2094800,2283200
